car_model,price,year_model,kms,color,fueltype
Renault Duster Zen,$78.694.000,2023,0,Blanco,Gasolina
Renault Dusteroroch 46323,$72.900.000,2020,59.600,Rojo,Gasolina
Renault Duster 2.0 Dynamique,$50.000.000,2015,95.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$66.900.000,2021,46.730,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$42.500.000,2015,97.000,Blanco,Gasolina
Renault Duster 1.3 T Iconic Cvt,$71.900.000,2023,78.000,Plateado,Gasolina
Renault Duster  4x2 1600cc Mt Aa,$68.000.000,2021,21.179,Rojo,Gasolina
Renault Duster 2.0 Dynamique,$57.999.000,2019,30.000,Rojo,Gasolina
Renault Duster 2.0 Dynamique 4x4,$65.000.000,2020,85.000,Gris,Gasolina
Renault Oroch 4x4 Servicio Público 2023,$97.000.000,2022,0,Blanco,Gasolina
Duster  Turbo 1.3  Servicio Público. 2023,$93.000.000,2023,0,Blanco,Gasolina
Renault Duster Oroch Dynamique,$73.000.000,2021,83.863,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$74.900.000,2022,22.000,Marrón,Gasolina
Renault Duster 2.0 Dynamique 4x2,$52.000.000,2016,34.335,Rojo,Gasolina
Renault Duster 2.0 Dynamique 4x4,$51.000.000,2017,77.500,Rojo,Gasolina
Renault Duster 1.3 Intense Cvt,$85.000.000,2023,40.000,Gris,Gasolina
Renault Duster Oroch INTENS,$87.900.000,2023,25.000,Blanco,Gasolina
Renault Duster INTENS,$76.900.000,2022,47.279,Gris,Gasolina
Renault Duster Dynamique,$58.900.000,2017,53.145,Verde,Gasolina
Renault Duster INTENS,$80.900.000,2023,31.295,Gris,Gasolina
Renault Duster Dynamique,$52.900.000,2015,54.100,Gris,Gasolina
Renault Duster OROCH INTENS,$90.900.000,2023,28.698,Blanco,Gasolina
Renault Duster INTENS,$79.900.000,2023,20.543,Marrón,Gasolina
Renault Duster 1.6 Zen,$75.900.000,2023,25.592,Gris,Gasolina
Renault Duster OROCH INTENS,$98.900.000,2023,15.400,Blanco,Gasolina
Renault Duster Oroch,$98.900.000,2023,12.814,Gris,Gasolina
Renault Duster INTENS,$79.900.000,2023,20.605,Blanco,Gasolina
Renault Duster Oroch Cargo,$83.900.000,2023,10.818,Blanco,Gasolina
Renault Duster OUTSIDER,$88.900.000,2022,34.939,Rojo,Gasolina
Renault Duster Dynamique,$54.900.000,2017,80.048,Gris,Gasolina
Renault Duster INTENS,$68.900.000,2021,37.410,Blanco,Gasolina
Renault Duster 1.6 Zen,$71.900.000,2023,30.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$54.900.000,2018,96.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$56.900.000,2020,77.000,Color not found,Gasolina
Renault Koleos 2.5 Dynamique 4x4,$44.900.000,2014,96.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$68.000.000,2021,72.000,Color not found,Gasolina
Renault Duster 1.3 Intense Cvt,$80.500.000,2022,29.490,Marrón,Gasolina
Renault Duster Dynamique 2.000cc A/T C/A 2014,$42.900.000,2014,80.000,Gris,Gasolina
Renault Duster 1.3 Iconic 4X4,$94.000.000,2024,4.500,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x2,$57.900.000,2018,59.000,Color not found,Gasolina
Renault Duster 1.6 Expression Mecánica,$37.000.000,2013,130.000,Negro,Gasolina
Renault Duster Dinamique 4x4 Mc Modelo 2019,$54.000.000,2019,177.490,Blanco,Gasolina
Renault Duster Dynamique,$62.000.000,2020,144.000,Blanco,Gasolina
Renault Duster INTENS,$87.900.000,2024,9.943,Gris,Gasolina
Renault Duster DYNAMIQUE 4X4 50 ANIVERSARIO,$59.800.000,2020,48.000,Gris,Gasolina
Renault Duster 1.6 Zen,$61.000.000,2021,106.600,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$52.800.000,2019,85.500,Gris,Gasolina
